,Name,Type,CompositionElements,ActiveSpeciesElements,SupportMaterial,ConversionTypes,DeactivationRates,FeedCompositionAndRatios,ReactionTemperature,InletFlowRate,CatalystLoadingOrGHSV,TypeIdentify,FeedGasComposition,ContainsOxidizingAgent,Enhancement,Selectivity,StructureType,PreparationMethod,PromoterElements,StabilityOriginal,ConvertedStability,PropanePartialPressure,PropyleneYield,PropaneProductionRate,PropaneConversion,ThermalConductivity,PropeneYield,PropeneProductionRate,TurnoverFrequency,DOI,Year,ConversionRate
688,VCAT (silica supported vanadium oxo organometallic complex),Metal,V,V,Silica Oxide,{'Propene conversion': '7%'},,"1/3 propene/para-H2, 1/4 propene/para-H2, 1/6 propene/para-H2",648.15,,,PDH,"Propene, Para-hydrogen",False,{'Conversion': 'Catalyst composition (vanadium metal)'},,,,,,,,,,,,,,,10.1021/acs.jpcc.7b12069,2018.0,7.0
689,Platinum-based monolithic catalyst,Metal,Pt,,Aluminum Oxide,{'Propane conversion': '14.6%'},,,923.15,,,PDH,"Propane, Hydrogen",False,"{'Conversion': 'Reactor design', 'Selectivity': 'Reactor design'}",95.0,,,,,,,,,,,,,,10.1016/S0009-2509(02)00276-2,2002.0,14.6
690,Ga/Na-SSZ-39(9),Metal Oxide,Ga,Ga,Zeolites,{'Propane conversion': '37%'},,CO2:C3H8:N2 = 1:1:18,873.15,60.0,7200 mL gcat^-1 h^-1,ODH,"Propane, CO2, N2",True,"{'Selectivity': 'Proper acidic strength and channel structure', 'Stability': 'Channel structure and introduction of CO2'}",63.0,,,Na,120 min,0.0083,,63.0,,,,,,,10.3390/catal13050896,2023.0,37.0
691,CrOy/Al2O3-ZrO2,Metal Oxide,"Cr, Al, Zr",Cr,Aluminum Oxide,{'Propane conversion': 'N/A'},,,903.15,,,PDH,"Propane, Nitrogen",False,"{'Stability': 'Structural composition', 'Conversion': 'Structural composition'}",,,,Zr,,,,,,,,,,,10.1016/j.catcom.2017.04.016,2017.0,
692,Pt/Ga/Hd-Al2O3,Metal Oxide,"Pt, Ga, Al",Ga,Aluminum Oxide,{'Propane conversion': '65.5%'},10% after 3 cycles,"10 kPa propane, 90 kPa N2",853.0,20.0,0.1 g,PDH,"Propane, N2",False,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",95.0,,,Pt,3 h,1.0,10.0,,,,,,,,10.1016/j.jechem.2019.04.027,2020.0,65.5
693,0.05Cu/LaZrOx,Metal Oxide,"Cu, La, Zr, O","Cu, Zr",Others,{'Propane conversion': '20-30%'},"44% in 95 min (without H2), 10% in 95 min (with 10% H2), 0% in 95 min (with 30% H2)","40% C3H8, 0-30% H2, Balance N2",3323.1499999999996,40.0,,PDH,"C3H8, H2, N2",False,"{'Stability': 'Co-feeding H2', 'Selectivity': 'Using Cu instead of Ru as active metal'}",80.0,,,La,44% deactivation after 95 min,0.46,,,,,,,,,10.1016/j.catcom.2020.106068,2020.0,30.0
694,"H-ZSM5, Zn/H-ZSM5, and Co/H-ZSM5",Metal,"Zn, Co","Zn, Co",Zeolites,{'Thiophene desulfurization': 'Not specified'},,Propane as exclusive hydrogen source,,,,PDH,"Propane, Thiophene",False,"{'Conversion': 'Cation exchange with Zn and Co', 'Selectivity': 'Use of propane as hydrogen source'}",,,,,,,20.0,,,,,,,,10.1006/jcat.1999.2668,1999.0,
695,TiCr0.15,Metal Oxide,"Ti, Cr",Cr,Oxides,{'propane conversion': '43.8%'},,Propane:Oxygen 2:1,813.15,,,ODH,"Propane, Oxygen",True,"{'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition'}",43.2,,,,,,,18.9,,,,,,,10.1016/j.apcata.2012.03.043,2012.0,43.8
696,Pt/Mg(In)(Al)O,Alloy,"Pt, In",Pt,Others,{'Propane conversion': '24.2%'},7.9% over 5 h TOS (1st cycle),Pure propane,823.15,20.0,1.5 g catalyst,PDH,Propane,False,"{'Conversion': 'Preparation Method', 'Selectivity': 'Composition', 'Stability': 'Composition'}",98.2,Nanoparticulate Alloys,Other Solution-Based Methods,In,16.3% after 5 h TOS (1st cycle),0.327,,94.5,,,,,,,10.1016/j.cattod.2019.08.047,2020.0,24.2
697,VOx/La2O3-γ-Al2O3,Metal Oxide,"V, La, Al, O",V,Aluminum Oxide,{'propane conversion': '55-80%'},,C3H8:CO2 = 1:2,835.65,,0.2 g,ODH,"C3H8, CO2",True,"{'Selectivity': 'Process Conditions', 'Conversion': 'Process Conditions'}",87.0,,,La,,,,66.0,,,,,,,10.1016/j.jiec.2020.12.022,2021.0,80.0
698,Single Pt atom on nitrogen vacancy of BN sheet,Single Atom,Pt,Pt,Boron-based,{},,,823.15,,,PDH,Propane,False,"{'Selectivity': 'Structural composition', 'Conversion': 'Structural composition', 'Stability': 'Structural composition'}",95.0,,,,24 h,1.0,,,,,,,,,10.1016/S1872-2067(18)63196-1,2019.0,
699,Zn8.47/HZSM-5,Metal Oxide,Zn,Zn,Zeolites,{'isobutane conversion': '5%'},,pure isobutane,673.15,,0.75 h-1,PDH,isobutane,False,"{'Selectivity': 'Catalyst composition', 'Conversion': 'Lewis acid sites', 'Stability': 'Catalyst composition'}",70.0,,,,72 h,3.0,,,,,,,,,10.1039/c8cy00917a,2018.0,5.0
700,Co-N-C-HCl,Single Atom,"Co, N, C",Co,Carbon-based,{'Propane conversion': '10-15%'},0.013-0.015 s-1,N2:propane = 3:1,773.0,40.0,0.05 g,PDH,"N2, Propane",False,"{'Conversion': 'Active species', 'Stability': 'Active species'}",98.0,,,,3.1 h,0.32,100.0,9.8,10 cm3/min,,,,,,10.1021/acscatal.8b00141,2018.0,15.0
701,Pt(0.3 wt%)Sn(0.2 wt%)K(0.5 wt%),Alloy,"Pt, Sn, K",Pt,Aluminum Oxide,{'Propane conversion': '38.6%'},4.2% (25 h),H2/C3H8 = 0.5/1,873.15,,0.25 g,PDH,"Propane, Hydrogen",False,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",95.2,Nanoparticulate Alloys,Impregnation Methods,"Sn, K",25 h,1.0,,95.2,,,,,,,10.1039/c7ra02141k,2017.0,38.6
702,Commercial Pt-Sn/Al2O3,Alloy,"Pt, Sn","Pt, Sn",Aluminum Oxide,{'Propane conversion': '55-63%'},,H2/HC = 0.6,893.15,,WHSV = 2.2 h-1,PDH,"Propane, Hydrogen",False,"{'Selectivity': 'Process conditions', 'Stability': 'Reaction conditions'}",84.0,Nanoparticulate Alloys,,,,,,46.0,,,,,,,10.1016/S1004-9541(13)60537-6,2013.0,63.0
703,Pd-doped Cu(111) surface,Single Atom,"Cu, Pd",Pd,Others,{},,,,,,PDH,Propane,False,"{'Conversion': 'Single atom doping', 'Selectivity': 'Structural composition'}",,,,,,,,,,,,,,,10.3390/molecules23010126,2018.0,
704,Rh/ZrO2,Metal Oxide,"Rh, Zr",Rh,Others,{'Propane conversion': '10%'},,"40% C3H8 in N2, 40 vol% C3H8 in N2",860.65,60.0,0.3 g,PDH,"C3H8, N2",False,"{'Activity': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",92.0,,,,11-12 days,288.0,,92.0,1.34 mmol g-1 min-1,,,,,,10.1021/acscatal.0c01455,2020.0,10.0
705,Unsupported vanadium oxide,Metal Oxide,"V, O","V, O",,{'Propane conversion': '50%'},,"20% propane, 20% oxygen, Balance helium",823.15,,,ODH,"Propane, Oxygen, Helium",True,"{'Conversion': 'Process Conditions', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",10.0,,,,30 min,0.5,,10.0,,,,,,,10.1016/j.apcata.2006.03.016,2006.0,50.0
706,Isolated tetrahedral Co(II) sites on silica,Single Atom,Co,Co,Silica Oxide,{'Propane conversion': '5-10%'},0.3 h-1 in first 1.5 h,20% propane in Ar,823.15,,70 mol C3H8 (mol Co)-1 h-1,PDH,"Propane, Argon",False,"{'Conversion': 'Preparation Method', 'Stability': 'Preparation Method', 'Selectivity': 'Preparation Method'}",95.0,,,,"12.6 mol C3H8 (mol Co)-1 h-1 initially, decayed to 5 mol C3H8 (mol Co)-1 h-1 after 10 h",4.5,,83.0,3.5 x 10-3 mol C3H8 (mol Co)-1 s-1 initially,,,,,,10.1021/jacs.6b08705,2016.0,10.0
707,β-Ga2O3,Metal Oxide,"Ga, O",Ga,,{'propane conversion': '23%'},,,773.15,,200 mg,ODH,"Propane, CO2, N2",True,"{'Conversion': 'Structural composition', 'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",97.6,,,,10.8% after 6 h,0.0018,,,,,,,,,10.1016/j.jcat.2005.03.001,2005.0,23.0
708,PtMn intermetallic alloy,Alloy,"Pt, Mn",Pt,Silica Oxide,{'Propane conversion': '49%'},,,873.15,50.0,WHSV of propane = 4 h-1,PDH,"C3H8, H2, N2",False,{'Selectivity': 'Structural Composition'},93.0,Intermetallic Compounds,In Situ Synthesis,,,,,,,,,,,,10.1038/s41565-023-01344-z,2023.0,49.0
709,PtGa-Pb/SiO2,Alloy,"Pt, Ga, Pb",Pt,Silica Oxide,{'propane conversion': '30%'},0.0104 h-1,C3H8:H2:He = 3.9:5.0:40,873.15,48.9,30.7 h-1,PDH,"C3H8, H2, He",False,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",99.6,Intermetallic Compounds,Impregnation Methods,Pb,96 h,4.0,,29.9,,,,,,,10.1038/s41467-020-16693-9,2020.0,30.0
710,Cr/MCM-41,Metal Oxide,Cr,Cr,Silica Oxide,{'Propane conversion': '40%'},,,,,,PDH,"Propane, Nitrogen",False,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition'}",80.0,,,,,,,,,,,,,,10.1002/cctc.201801598,2018.0,40.0
711,Pt3Ir/Mg(Al)O,Alloy,"Pt, Ir","Pt, Ir",Others,{'Propane conversion': '80%'},12% loss in 10 min,H2:C3H8 = 1,873.0,60.0,25 mg,PDH,"C3H8, H2, He",False,"{'Conversion': 'Alloy composition', 'Selectivity': 'Alloy composition', 'Stability': 'Alloy composition'}",95.0,Nanoparticulate Alloys,Others,,24% loss in 10 min,0.024,20.200000000000003,95.0,,,,,,,10.1016/j.apcata.2015.08.029,2015.0,80.0
712,Castanea mollissima shell-derived carbon,Metal,C,O,Carbon-based,{'Propane conversion': '24.7%'},,C3H8/N2 = 1:19,873.15,20.0,200 mg,PDH,"C3H8, N2",False,"{'Selectivity': 'Structural composition', 'Conversion': 'Structural composition', 'Stability': 'Structural composition'}",93.5,,,,10 h,0.1,,,,,,,,,10.1016/j.cattod.2018.01.010,2018.0,24.7
713,PtSn-ZSM22 catalyst,Alloy,"Pt, Sn","Pt, Sn",Others,{'Propane Conversion': '93%'},,C3H8:N2,673.15,,30000 mL/g/h,PDH,"C3H8, N2",False,"{'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition'}",100.0,Nanoparticulate Alloys,Impregnation Methods,,10 hrs,0.1,,95.0,1 kg/hr,,,,,,10.1016/j.powtec.2022.117813,2022.0,
714,Raw coal,Others,C,"C, O",,{'Propane conversion': '5-10%'},,"15 kPa O2, 30 kPa C3H8",773.15,,"0.3-12,000 mL·(h·g-cat)^-1",ODH,"O2, C3H8, N2",True,"{'Selectivity': 'Composition', 'Conversion': 'Composition', 'Stability': 'Composition'}",90.0,,,,8 h,1.0,,9.0,2.84 gC3H6 gcat^-1 h^-1,,,,,,10.3390/catal13030628,2023.0,10.0
715,8V-HMS,Metal Oxide,"V, Si",V,Silica Oxide,{'propane conversion': '8.9%'},0.8 h-1,C3H8:N2 = 2:3,823.15,10.0,0.05 g,PDH,"C3H8, N2",False,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",92.9,,,,16 h,0.0625,,73.0,,,,,,,10.1016/j.jcat.2022.07.017,2022.0,8.9
716,Ga/BEA-X,Metal,Ga,Ga,Zeolites,{'Propane conversion': '19%'},,,813.0,100.0,0.21-106 gpropane/(gcatalyst x h),PDH,"Propane, Helium (carrier gas)",False,"{'Selectivity': 'Composition of active Ga species', 'Conversion': 'Increasing Ga loading'}",82.0,,,,,,10.0,82.0,,,,,,,10.1021/jacs.2c03810,2022.0,19.0
717,1.9 wt% Au/TiO2,Metal Oxide,"Au, Ti",Au,Others,{'propane conversion': '2.8%'},,C3H8/H2/O2/Ar = 2/1/1/6,443.0,,"36,000 h-1",ODH,"C3H8, H2, O2, Ar",True,"{'Conversion': 'Structural composition', 'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",76.0,,,,6 h,1.0,,76.0,270 mol gcat-1 h-1,,,,,,10.1016/j.jcat.2008.01.030,2008.0,2.8
718,Boron phosphate (BPO4),Metal Oxide,"B, P, O","B, P",,{'Propane conversion': '14.3%'},,Propane/Oxygen,788.15,,,ODH,"Propane, Oxygen",True,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition'}",82.5,,,,,,,,,,,,,,10.1021/acs.jpcc.3c00838,2023.0,14.3
719,Pt-Sn-K/Al2O3,Alloy,"Pt, Sn",Pt,Aluminum Oxide,{'propane conversion': '34.35-44.87%'},0.043 g/h,H2/C3H8 = 0.5,893.15,,4.0 h-1,PDH,"Propane, Hydrogen",False,"{'Selectivity': 'Catalyst preparation method', 'Stability': 'Catalyst preparation method'}",90.94,Nanoparticulate Alloys,Impregnation Methods,"Sn, K",34.35% conversion after 6 h on stream,5.7,100.0,31.01,,,,,,,10.1016/j.cattod.2018.05.022,2019.0,44.87
720,Pd-Bi/SiO2,Alloy,"Pd, Bi",Pd,Silica Oxide,{'propane conversion': '25-32%'},0.04 h-1,"2.5% C3H8, 2.5% H2",823.15,,30-1000 mg,PDH,"Propane, Hydrogen",False,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",95.0,Intermetallic Compounds,Impregnation Methods,Bi,0.04 h-1,0.04,,,,,,,,,10.1021/acscatal.2c00642,2022.0,32.0
721,Ga-Pt bimetallic nanoclusters confined within silicalite-1 zeolite (GaPt@S-1),Alloy,"Ga, Pt",Pt,Zeolites,{'propane conversion': '45.9%'},0.0068 h-1,C3H8:N2 = 1:19,873.15,20.0,0.1 g,PDH,"C3H8, N2",False,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",92.1,Nanoparticulate Alloys,In Situ Synthesis,,24 h,0.0417,,92.1,20.5 mol g-1Pt h-1,,,,,,10.1016/j.jcis.2021.02.129,2021.0,45.9
722,Vanadium-substituted calcium phosphate/hydroxyapatite,Metal Oxide,"Ca, P, V, O, H","V, O",Others,{'Propane conversion': '1.3-3%'},,,673773.0,12.5,,ODH,"Propane, Oxygen, Helium",True,"{'Selectivity': 'Structural composition', 'Conversion': 'Structural composition'}",31.0,,,,,,,,,,,,,,10.1002/cctc.201902181,2020.0,3.0
723,Platinum,Metal,Pt,Pt,,{'single-pass conversion': '35.0%'},,Propane:Hydrogen = 0.29:0.09 bar,792.0,,,PDH,"Propane, Hydrogen",False,{'Selectivity': 'Surface structure'},93.0,,,,,,28.999999999999996,,,,,,,,10.1021/acscatal.1c04844,2022.0,35.0
724,Al-doped Cr2O3 derived from MIL-101(Cr/Al),Metal Oxide,"Cr, Al",Cr,,{'propane conversion': '19.5%'},,,853.15,,800 h-1,PDH,propane,False,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition', 'Conversion': 'Structural Composition'}",92.0,,,Al,,,100.0,,,,,,,,10.1016/j.mcat.2022.112894,2023.0,19.5
725,Tripodal vanadium oxo complex [(≡SiO)3V(═O)],Metal Oxide,"V, O, Si","V, O",Silica Oxide,{'Propane conversion': '17-19%'},,,813.15,5.0,500 mg catalyst diluted in 2.0 g SiC,PDH,"Propane, Argon",False,"{'Conversion': 'Catalyst preparation method', 'Selectivity': 'Catalyst preparation method', 'Stability': 'Catalyst preparation method'}",84.5,,,,1000 min,0.6,,,,,,,,,10.1021/acs.organomet.2c00377,2022.0,19.0
726,Pt-Ti/SiO2 and Pt-Nb/SiO2,Metal,"Pt, Ti, Nb, Si, O",Pt,Silica Oxide,{'propane conversion': '10%'},,2.5% C3H8 + 2.5% H2,823.15,,,PDH,"C3H8, H2, N2",False,{'Selectivity': 'Structural Composition'},93.0,,,"Ti, Nb",,,,,,,,,,,10.1039/d0cy00897d,2020.0,10.0
727,Ni/Ti-MWW,Metal,"Ni, Ti",Ni,Others,{'propane conversion': '92%'},0.1% per hour,C3H8/O2/N2=1/4/11,873.15,,"10,000 mL/g/h",ODH,"C3H8, O2, N2",True,"{'Selectivity': 'Ti promoter', 'Stability': 'Ti-MWW support'}",83.0,,,Ti,stable for 50 h,0.02,,76.0,0.35 mmol/g/s,,,,,,10.1016/j.apcata.2023.119429,2023.0,92.0
728,Atomically dispersed Pt/Al2O3,Single Atom,Pt,Pt,Aluminum Oxide,{'Propane conversion': '28-50%'},,H2/C3H8 = 0.8 v/v,848.15,78.0,18.9 h-1,PDH,"Propane, Hydrogen, Argon",False,"{'Activity': 'Atomically dispersed Pt active sites', 'Selectivity': 'Weakened propylene adsorption and lack of multiple Pt-Pt sites', 'Stability': 'Absence of multiple Pt-Pt sites and deep dehydrogenation side reactions'}",92.0,,,,0.85-0.92,85.0,,,,,,,,,10.1021/acscatal.0c03286,2020.0,50.0
729,Pt-Sn-K/Al2O3,Alloy,"Pt, Sn, K","Pt, Sn",Aluminum Oxide,{'Propane Conversion': '2.59-21.15%'},,C3H8/C3H6/H2/DMDS,883.15,100.0,,PDH,"C3H8, C3H6, H2, DMDS",False,"{'Conversion': 'Process Conditions', 'Selectivity': 'Process Conditions', 'Stability': 'Process Conditions'}",99.89,Nanoparticulate Alloys,Impregnation Methods,K,,,,,,,,,,,10.1021/acsomega.2c01729,2022.0,
730,FeMoTeO,Metal Oxide,"Fe, Mo, Te, O","Mo, Te",Silica Oxide,{'propene conversion': '82%'},,C3H6/O2/N2 = 1 : 1.5 : 8.6,633.15,,295 h^-1,ODH,"C3H6, O2, N2",True,"{'Conversion': 'Preparation Method', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",83.0,,,,200 h,,,,,,,,17.6 * 10^-7 mol s^-1 g^-1,,10.1039/c7cy01574g,2017.0,82.0
731,R-AlB2,Metal,"Al, B","B, O",,{'Propane conversion': '35%'},,C3H8/O2 = 2/1,773.15,,,ODH,"C3H8, O2",True,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",86.3,,,,200 h,0.005,,30.2,,,,,,,10.1021/acscatal.2c04889,2023.0,35.0
732,ZrBiOx and Bi2O3/LaZrOx,Metal Oxide,"Zr, Bi, La, O",Zr,Others,{},,,3323.1499999999996,,,PDH,propane,False,"{'Selectivity': 'Promoter', 'Conversion': 'Promoter'}",96.0,,,Bi,,,,,,,,,,,10.1039/d2cc07002b,2023.0,
733,Pt-based intermetallic alloys and bimetallic nanoparticles,Alloy,"Pt, Zn, Y, La",Pt,Zeolites,{'Propane conversion': '10-65%'},0.001-0.106 h^-1,"C3H8/H2, C3H8/N2, C3H8/He, C3H8/Ar, 100% C3H8, C3H8/N2 = 5/95",823.15,,,PDH,"C3H8, H2, N2, He, Ar",False,"{'Conversion': 'Structural composition, support material', 'Selectivity': 'Structural composition, support material', 'Stability': 'Structural composition, support material'}",100.0,Intermetallic Compounds,Heat Treatment,"Zn, Y, La",7-300 h,0.04,,100.0,0.191-4.601 molC3H6⋅gcat-1⋅h-1,,,,,,10.1021/acscatal.3c00816,2023.0,65.0
734,FeCr mixed metal oxides,Metal Oxide,"Fe, Cr","Fe, Cr",,{'propane conversion': '14.2%'},33% initial activity after 2 h,C3H8:O2:He = 1:0.5:8,848.15,,30 mg,ODH,"C3H8, O2, He",True,"{'Conversion': 'Composition', 'Selectivity': 'Composition', 'Stability': 'Composition'}",71.0,,,,2 h,0.5,,17.9,,,,,,,10.1016/j.catcom.2021.106383,2022.0,14.2
735,MoVTe(Sb)Nb oxide,Metal Oxide,"Mo, V, Te, Sb, Nb","Mo, V",Silica Oxide,{'propane conversion': '92%'},,C3H8:O2=5:1,833.15,,GHSV of 3600 h-1,ODH,"C3H8, O2",True,"{'Conversion': 'Composition', 'Selectivity': 'Composition', 'Stability': 'Composition'}",92.0,,,"Te, Sb, Nb",30 h,0.033,101.29999999999998,90.0,447 mmol C3H6 gcat-1 h-1,,,,,,10.1016/j.powtec.2022.117841,2022.0,92.0
736,Co@Pt Core-Shell Nanoparticles,Alloy,"Co, Pt",Pt,,{'N/A': 'N/A'},,,793.15,,,PDH,"Propane, Hydrogen, Propylene",False,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",,Miscellaneous Alloys,,,,,,,,,,,,,10.1016/j.cej.2018.09.210,2019.0,
737,Single-site [PtZn4] intermetallic catalyst,Alloy,"Pt, Zn",Pt,Silica Oxide,{'propane conversion': '48%'},0.002 h-1,C3H8/H2 = 1/1,873.15,50.0,WHSV of propane = 4 h-1,PDH,"C3H8, H2",False,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition', 'Conversion': 'Structural Composition'}",96.0,Intermetallic Compounds,Heat Treatment,Zn,160 h,0.002,,97.2,83.2 mol C3H6 gPt-1 h-1,,,,,,10.1016/j.chempr.2020.10.008,2021.0,48.0
738,Re- and W-doped VOx,Metal Oxide,"V, O, W, Re","V, O",Aluminum Oxide,{'Propane conversion': '30%'},,p(C3H8)/p(N2) = 4:17,798.15,,0.5 g sample,ODH,"C3H8, N2",False,{'Selectivity': 'Promoter Elements'},33.6,,,"W, Re",,,23.304750000000002,33.6,,,,,,,10.1002/anie.202206758,2022.0,30.0
739,Pt-SnOx/TS-1@SBA-16,Metal Oxide,"Pt, Sn","Pt, Sn",Silica Oxide,{'Propane conversion': '54.5%'},,,,,,PDH,Propane,False,{'Conversion': 'Catalyst composition'},,,,,,,,,,,,,,,10.1007/s40242-019-9120-7,2019.0,54.5
740,PtSn/A750,Alloy,"Pt, Sn","Pt, Sn",Aluminum Oxide,{'Propane conversion': '48.3%'},0.017 h^-1,,863.15,,WHSV = 5.2 h^-1,PDH,"C3H8, H2, He",False,"{'Stability': 'Structural Composition', 'Conversion': 'Structural Composition'}",97.1,Nanoparticulate Alloys,Impregnation Methods,,,0.017,,,,,,,,,10.1016/j.apcata.2018.12.024,2019.0,48.3
741,Ni-Mn/γ-Al2O3,Metal Oxide,"Ni, Mn",Ni,Aluminum Oxide,{'CO2 conversion': '88-93%'},7.6 x 10-4 h-1,,573.15,,9400 h-1,PDH,"CO2, H2, Ar",False,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",99.9,,,Mn,1100 h,0.0009,,,,,,,,,10.1016/j.jcou.2022.102113,2022.0,93.0
742,Atomically dispersed Pt catalysts,Single Atom,Pt,Pt,Silica Oxide,{'Propane conversion': 'N/A'},,,,,,PDH,Propane,False,"{'Activity': 'Tuning oxidation state of Pt via charge transfer', 'Selectivity': 'Absence of Pt-Pt sites in single atom dispersion'}",99.2,,,,,,,,,,,,,,10.1039/d1cy01569a,2021.0,
743,Cr-containing SiBeta zeolite,Metal Oxide,Cr,Cr,Zeolites,{'propane conversion': '24.8%'},,C3H8:CO2:He = 1:5:9,823.15,,WHSV = 1.2 h-1,PDH,"C3H8, CO2, He",False,"{'Selectivity': 'Support material', 'Conversion': 'Support material'}",87.1,,,,,,,21.6,,,,,,,10.1016/j.jcou.2019.09.018,2020.0,24.8
744,Sodium vanadate supported on sodium loaded silica,Metal Oxide,"Na, V, O, Si",V,Silica Oxide,"{'Propane conversion': '4-10%', 'Oxygen conversion': '4-8%'}",,,748.15,,4 h-1,ODH,"Propane, Oxygen, Nitrogen",True,"{'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition'}",20.0,,,Na,,,,,,,,,,,10.1016/j.mcat.2022.112158,2022.0,
745,VOx/TiO2,Metal Oxide,"V, Ti, O","V, O",Others,{},,,,,,ODH,"Propane, Oxygen",True,{'Conversion': 'Active species'},,,,,,,,,,,,,,,10.1007/s11164-015-2355-0,2016.0,
746,V2O5/γ-Al2O3,Metal Oxide,"V, Al",V,Aluminum Oxide,"{'propane conversion': '37.32%', 'oxygen conversion': '100%'}",,"C3H8:O2 = 10:1, 10% O2",928.15,,50 kg/m3,ODH,"C3H8, O2",True,"{'Selectivity': 'Reactor design', 'Conversion': 'Reactor design'}",44.2,,,,,,,15.0,833.3 mol/s,,,,,,10.1016/j.cjche.2015.12.018,2016.0,37.32
747,Boron nitride supported on dendritic fibrous nanosilica (DFNS/BN),Others,"B, N, Si",,Silica Oxide,{'Propane conversion': '25.5%'},,C3H8/O2/He = 1:1:8,763.15,,1.47 kgcat mol C3H8-1 h-1,ODH,"C3H8, O2, He",True,"{'Selectivity': 'Support material and preparation method', 'Conversion': 'Support material', 'Stability': 'Support material'}",59.4,,,,19 h,0.526,,59.4,"38,360 μmol gcat-1 h-1",,,,,,10.1021/acssuschemeng.0c04148,2020.0,25.5
748,Ordered macroporous BPO4,Metal Oxide,"B, P, O",B,,{'Propane conversion': '14.3%'},,C3H8:O2:N2 = 1:1.5:3.5,788.15,48.0,94 gC3H8/gcat/h,ODH,"C3H8, O2, N2",True,"{'Conversion': 'Macroporous structure', 'Selectivity': 'Tetracoordinated boron species', 'Stability': 'Crystalline macroporous structure'}",91.5,,,,20 h,20.0,,,,,,,,,10.1016/S1872-2067(20)63654-3,2020.0,14.3
749,MC-700,Others,C,O,,{'propane conversion': '45.6%'},,"5 vol% propane, 95 vol% argon",873.15,,,PDH,"Propane, Argon",False,"{'Conversion': 'Surface chemical properties', 'Selectivity': 'Pore structure', 'Stability': 'Preparation method'}",73.9,,,,8 h,0.125,,30.5,,,,,,,10.1016/j.cattod.2022.06.022,2023.0,45.6
750,Hexagonal boron nitride,Metal,"B, N","B, N",,{'Propane conversion': '14%'},No deactivation reported,Propane:Oxygen,763.15,,15-40 kg-cat s mol C3H8-1,ODH,"Propane, Oxygen, Nitrogen",True,"{'Selectivity': 'Catalyst composition', 'Stability': 'Catalyst composition'}",79.0,,,,Stable for at least 32 hours,32.0,30.3975,,3.6 ×10–7 mol C3H8 s–1 m–2 (BNNT),,,,,,10.1126/science.aaf7885,2016.0,14.0
751,Cu(0.05 wt%)/ZrO2-La2O3,Metal Oxide,"Cu, Zr, La, O",Zr,Others,{'Propane conversion': 'N/A'},,C3H8:N2=40:60,860.65,,"
					",PDH,"C3H8, N2",False,"{'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",90.0,,,"Cu, La",240 h,240.0,,,,,,,,,10.1002/anie.201508731,2015.0,
752,Pt-La2O3-CeO2-DSH,Metal Oxide,"Pt, La, Ce",Pt,Silica Oxide,{'Conversion of 4-nitrophenol': '94%'},0 h-1,,,,,PDH,"4-nitrophenol, NaBH4",False,"{'Conversion': 'Structural Composition', 'Stability': 'Structural Composition'}",100.0,,,,8 cycles,8.0,,,,,,,,,10.1002/aoc.4858,2019.0,
753,PtZn/SiO2,Alloy,"Pt, Zn",Pt,Silica Oxide,{'propane conversion': '84%'},0.58%/h,"H2:C3H8 = 0:1, H2:C3H8 = 1:1, H2:C3H8 = 2:1",823.15,40.0,11.4 g propane/g catalyst/hr,PDH,"Propane, Hydrogen, Argon",False,"{'Stability': 'Co-feeding Hydrogen', 'Conversion': 'Co-feeding Hydrogen'}",95.0,Nanoparticulate Alloys,Impregnation Methods,Zn,Stable for 20 h,0.05,50.0,80.0,11.4 g propane/g catalyst/hr,,,,,,10.1016/j.apcata.2023.119157,2023.0,84.0
