Name,Type,CompositionElements,ActiveSpeciesElements,SupportMaterial,ConversionTypes,DeactivationRates,FeedCompositionAndRatios,ReactionTemperature,InletFlowRate,CatalystLoadingOrGHSV,TypeIdentify,FeedGasComposition,ContainsOxidizingAgent,Enhancement,Selectivity,StructureType,PreparationMethod,PromoterElements,StabilityOriginal,ConvertedStability,PropanePartialPressure,PropyleneYield,PropaneProductionRate,PropaneConversion,ThermalConductivity,PropeneYield,PropeneProductionRate,TurnoverFrequency,DOI,Year
0.05Cu/LaZrOx,Metal Oxide,"Cu, La, Zr, O","Cu, Zr",Zirconia (ZrO2),{'Propane conversion': '20-30%'},"44% in 95 min (without H2), 10% in 95 min (with 10% H2), 0% in 95 min (with 30% H2)","40% C3H8, 0-30% H2, Balance N2",550-600°C,5-40 mL/min,,PDH,"C3H8, H2, N2",No,"{'Stability': 'Co-feeding H2', 'Selectivity': 'Using Cu instead of Ru as active metal'}",70-80%,,,La,44% deactivation after 95 min,0.46 h^-1,,,,,,,,,10.1016/j.catcom.2020.106068,2020.0
"H-ZSM5, Zn/H-ZSM5, and Co/H-ZSM5",Metal-exchanged zeolite,"Zn, Co","Zn, Co",ZSM-5 zeolite,{'Thiophene desulfurization': 'Not specified'},,Propane as exclusive hydrogen source,Not specified,,,PDH,"Propane, Thiophene",No,"{'Conversion': 'Cation exchange with Zn and Co', 'Selectivity': 'Use of propane as hydrogen source'}",High H2S selectivity,,,,,,20 kPa,,,,,,,,10.1006/jcat.1999.2668,1999.0
TiCr0.15,Metal Oxide,"Ti, Cr",Cr,Oxides,{'propane conversion': '43.8%'},,Propane:Oxygen 2:1,540℃,GHSV 4500 ml (g h)-1,,ODH,"Propane, Oxygen",Yes,"{'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition'}",43.2%,,,,,,,18.9%,,,,,,,10.1016/j.apcata.2012.03.043,2012.0
Pt/Mg(In)(Al)O,Alloy,"Pt, In",Pt,Mg(Al)O,{'Propane conversion': '24.2%'},7.9% over 5 h TOS (1st cycle),Pure propane,550℃,20 cm3/min,1.5 g catalyst,PDH,Propane,No,"{'Conversion': 'Preparation Method', 'Selectivity': 'Composition', 'Stability': 'Composition'}",98.2%,Nanoparticulate Alloys,Co-precipitation,In,16.3% after 5 h TOS (1st cycle),0.327 h-1,,94.5%,,,,,,,10.1016/j.cattod.2019.08.047,2020.0
VOx/La2O3-γ-Al2O3,Metal Oxide,"V, La, Al, O",V,Alumina,{'propane conversion': '55-80%'},,C3H8:CO2 = 1:2,525-600°C,,0.2 g,ODH,"C3H8, CO2",Yes,"{'Selectivity': 'Process Conditions', 'Conversion': 'Process Conditions'}",74-87%,,,La,,,,34-66%,,,,,,,10.1016/j.jiec.2020.12.022,2021.0
Single Pt atom on nitrogen vacancy of BN sheet,Single Atom,Pt,Pt,Boron nitride sheet,{},,,550 ℃,,,PDH,Propane,No,"{'Selectivity': 'Structural composition', 'Conversion': 'Structural composition', 'Stability': 'Structural composition'}",95%,,,,24 h,1 h-1,,,,,,,,,10.1016/S1872-2067(18)63196-1,2019.0
Zn8.47/HZSM-5,Metal Oxide,Zn,Zn,Zeolite,{'isobutane conversion': '5%'},,pure isobutane,400 °C,,0.75 h-1,PDH,isobutane,No,"{'Selectivity': 'Catalyst composition', 'Conversion': 'Lewis acid sites', 'Stability': 'Catalyst composition'}",66-70%,,,,72 h,3 h-1,,,,,,,,,10.1039/c8cy00917a,2018.0
Co-N-C-HCl,Single Atom,"Co, N, C",Co,N-doped Carbon,{'Propane conversion': '10-15%'},0.013-0.015 s-1,N2:propane = 3:1,773 K,40 cm3/min total,0.05 g,PDH,"N2, Propane",No,"{'Conversion': 'Active species', 'Stability': 'Active species'}",98%,,,,3.1 h,0.32 h-1,0.1 MPa,9.8%,10 cm3/min,,,,,,10.1021/acscatal.8b00141,2018.0
Pt(0.3 wt%)Sn(0.2 wt%)K(0.5 wt%),Alloy,"Pt, Sn, K",Pt,Alumina,{'Propane conversion': '38.6%'},4.2% (25 h),H2/C3H8 = 0.5/1,600℃,WHSV = 4 h-1,0.25 g,PDH,"Propane, Hydrogen",No,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",95.2%,Nanoparticulate Alloys,Impregnation Methods,"Sn, K",25 h,1 h-1,,95.2%,,,,,,,10.1039/c7ra02141k,2017.0
Commercial Pt-Sn/Al2O3,Alloy,"Pt, Sn","Pt, Sn",Al2O3,{'Propane conversion': '55-63%'},,H2/HC = 0.6,620 °C,,WHSV = 2.2 h-1,PDH,"Propane, Hydrogen",No,"{'Selectivity': 'Process conditions', 'Stability': 'Reaction conditions'}",56-84%,Nanoparticulate Alloys,,,,,,46%,,,,,,,10.1016/S1004-9541(13)60537-6,2013.0
Pd-doped Cu(111) surface,Single Atom,"Cu, Pd",Pd,Cu(111) surface,{},,,,,,PDH,Propane,No,"{'Conversion': 'Single atom doping', 'Selectivity': 'Structural composition'}",,,,,,,,,,,,,,,10.3390/molecules23010126,2018.0
Rh/ZrO2,Metal Oxide,"Rh, Zr",Rh,ZrO2,{'Propane conversion': '10%'},,"40% C3H8 in N2, 40 vol% C3H8 in N2",550-625℃,10-60 mL min-1,0.3 g,PDH,"C3H8, N2",No,"{'Activity': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",90-92%,,,,11-12 days,264-288 h-1,,90-92%,1.34 mmol g-1 min-1,,,,,,10.1021/acscatal.0c01455,2020.0
Unsupported vanadium oxide,Metal Oxide,"V, O","V, O",,{'Propane conversion': '50%'},,"20% propane, 20% oxygen, Balance helium",550°C,,,ODH,"Propane, Oxygen, Helium",Yes,"{'Conversion': 'Process Conditions', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",10%,,,,30 min,0.5 h^-1,,10%,,,,,,,10.1016/j.apcata.2006.03.016,2006.0
Isolated tetrahedral Co(II) sites on silica,Single Atom,Co,Co,Silica,{'Propane conversion': '5-10%'},0.3 h-1 in first 1.5 h,20% propane in Ar,550℃,,70 mol C3H8 (mol Co)-1 h-1,PDH,"Propane, Argon",No,"{'Conversion': 'Preparation Method', 'Stability': 'Preparation Method', 'Selectivity': 'Preparation Method'}",83-95%,,,,"12.6 mol C3H8 (mol Co)-1 h-1 initially, decayed to 5 mol C3H8 (mol Co)-1 h-1 after 10 h","4.5 h-1 initially, decayed to 1.8 h-1 after 10 h",,83%,3.5 x 10-3 mol C3H8 (mol Co)-1 s-1 initially,,,,,,10.1021/jacs.6b08705,2016.0
β-Ga2O3,Metal Oxide,"Ga, O",Ga,None,{'propane conversion': '23%'},,,500 °C,,200 mg,ODH,"Propane, CO2, N2",Yes,"{'Conversion': 'Structural composition', 'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",97.6%,,,,10.8% after 6 h,0.0018 h-1,,,,,,,,,10.1016/j.jcat.2005.03.001,2005.0
PtMn intermetallic alloy,Alloy,"Pt, Mn",Pt,Silica Oxide,{'Propane conversion': '49%'},,,600℃,50 ml/min,WHSV of propane = 4 h-1,PDH,"C3H8, H2, N2",No,{'Selectivity': 'Structural Composition'},93%,Intermetallic Compounds,In Situ Synthesis,,,,,,,,,,,,10.1038/s41565-023-01344-z,2023.0
PtGa-Pb/SiO2,Alloy,"Pt, Ga, Pb",Pt,Silica Oxide,{'propane conversion': '30%'},0.0104 h-1,C3H8:H2:He = 3.9:5.0:40,600 °C,48.9 mL/min,30.7 h-1,PDH,"C3H8, H2, He",No,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",99.6%,Intermetallic Compounds,Impregnation Methods,Pb,96 h,4 h-1,,29.9%,,,,,,,10.1038/s41467-020-16693-9,2020.0
Cr/MCM-41,Metal Oxide,Cr,Cr,Silica Oxide,{'Propane conversion': '40%'},,,,,,PDH,"Propane, Nitrogen",No,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition'}",80%,,,,,,,,,,,,,,10.1002/cctc.201801598,2018.0
Pt3Ir/Mg(Al)O,Alloy,"Pt, Ir","Pt, Ir",Mg(Al)O,{'Propane conversion': '80%'},12% loss in 10 min,H2:C3H8 = 1,873 K,60 mL/min,25 mg,PDH,"C3H8, H2, He",No,"{'Conversion': 'Alloy composition', 'Selectivity': 'Alloy composition', 'Stability': 'Alloy composition'}",95%,Nanoparticulate Alloys,Solution-Based Methods,,24% loss in 10 min,0.024 h^-1,0.202 bar,95%,,,,,,,10.1016/j.apcata.2015.08.029,2015.0
Castanea mollissima shell-derived carbon,Metal-free,C,O,Carbon,{'Propane conversion': '24.7%'},,C3H8/N2 = 1:19,600℃,20 mL/min,200 mg,PDH,"C3H8, N2",No,"{'Selectivity': 'Structural composition', 'Conversion': 'Structural composition', 'Stability': 'Structural composition'}",93.5%,,,,10 h,0.1 h-1,,,,,,,,,10.1016/j.cattod.2018.01.010,2018.0
PtSn-ZSM22 catalyst,Alloy,"Pt, Sn","Pt, Sn",ZSM22,{'Propane Conversion': '93%'},,C3H8:N2,400°C,,30000 mL/g/h,PDH,"C3H8, N2",No,"{'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition'}",100%,Nanoparticulate Alloys,Impregnation Methods,,10 hrs,0.1 h-1,,95%,1 kg/hr,,,,,,10.1016/j.powtec.2022.117813,2022.0
Raw coal,Other,C,"C, O",,{'Propane conversion': '5-10%'},,"15 kPa O2, 30 kPa C3H8",450-550°C,20-4000 mL/(h*g-cat),"0.3-12,000 mL·(h·g-cat)^-1",ODH,"O2, C3H8, N2",Yes,"{'Selectivity': 'Composition', 'Conversion': 'Composition', 'Stability': 'Composition'}",90%,,,,8 h,0.125-1 h^-1,,4.5-9%,2.84 gC3H6 gcat^-1 h^-1,,,,,,10.3390/catal13030628,2023.0
8V-HMS,Metal Oxide,"V, Si",V,Silica Oxide,{'propane conversion': '8.9%'},0.8 h-1,C3H8:N2 = 2:3,550℃,10 mL/min,0.05 g,PDH,"C3H8, N2",No,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",92.9%,,,,16 h,0.0625 h-1,,73%,,,,,,,10.1016/j.jcat.2022.07.017,2022.0
Ga/BEA-X,Metal,Ga,Ga,BEA Zeolite,{'Propane conversion': '19%'},,,813 K,5-100 mL/min,0.21-106 gpropane/(gcatalyst x h),PDH,"Propane, Helium (carrier gas)",No,"{'Selectivity': 'Composition of active Ga species', 'Conversion': 'Increasing Ga loading'}",82%,,,,,,2-100 mbar,82%,,,,,,,10.1021/jacs.2c03810,2022.0
1.9 wt% Au/TiO2,Metal Oxide,"Au, Ti",Au,TiO2,{'propane conversion': '2.8%'},,C3H8/H2/O2/Ar = 2/1/1/6,443 K,,"36,000 h-1",ODH,"C3H8, H2, O2, Ar",Yes,"{'Conversion': 'Structural composition', 'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",76%,,,,6 h,1 h-1,,76%,270 mol gcat-1 h-1,,,,,,10.1016/j.jcat.2008.01.030,2008.0
Boron phosphate (BPO4),Metal Oxide,"B, P, O","B, P",,{'Propane conversion': '14.3%'},,Propane/Oxygen,515 ℃,,,ODH,"Propane, Oxygen",Yes,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition'}",82.5%,,,,,,,,,,,,,,10.1021/acs.jpcc.3c00838,2023.0
Pt-Sn-K/Al2O3,Alloy,"Pt, Sn",Pt,Aluminum Oxide,{'propane conversion': '34.35-44.87%'},0.043 g/h,H2/C3H8 = 0.5,620 ℃,4.0 h-1,4.0 h-1,PDH,"Propane, Hydrogen",No,"{'Selectivity': 'Catalyst preparation method', 'Stability': 'Catalyst preparation method'}",90.3-90.94%,Nanoparticulate Alloys,Impregnation Methods,"Sn, K",34.35% conversion after 6 h on stream,5.7 h-1,0.1 MPa,31.01%,,,,,,,10.1016/j.cattod.2018.05.022,2019.0
Pd-Bi/SiO2,Alloy,"Pd, Bi",Pd,Silica,{'propane conversion': '25-32%'},0.04 h-1,"2.5% C3H8, 2.5% H2",550°C,,30-1000 mg,PDH,"Propane, Hydrogen",No,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",95%,Intermetallic Compounds,Sequential Impregnation,Bi,0.04 h-1,0.04 h-1,,,,,,,,,10.1021/acscatal.2c00642,2022.0
Ga-Pt bimetallic nanoclusters confined within silicalite-1 zeolite (GaPt@S-1),Alloy,"Ga, Pt",Pt,Zeolite,{'propane conversion': '45.9%'},0.0068 h-1,C3H8:N2 = 1:19,600 °C,20 mL min-1,0.1 g,PDH,"C3H8, N2",No,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",92.1%,Nanoparticulate Alloys,In Situ Synthesis,,24 h,0.0417 h-1,,92.1%,20.5 mol g-1Pt h-1,,,,,,10.1016/j.jcis.2021.02.129,2021.0
Vanadium-substituted calcium phosphate/hydroxyapatite,Metal Oxide,"Ca, P, V, O, H","V, O",Calcium phosphate/hydroxyapatite,{'Propane conversion': '1.3-3%'},,,673-773 K,12.5 mL/min,,ODH,"Propane, Oxygen, Helium",Yes,"{'Selectivity': 'Structural composition', 'Conversion': 'Structural composition'}",22-31%,,,,,,,,,,,,,,10.1002/cctc.201902181,2020.0
Platinum,Metal,Pt,Pt,,{'single-pass conversion': '35.0%'},,Propane:Hydrogen = 0.29:0.09 bar,792 K,,,PDH,"Propane, Hydrogen",No,{'Selectivity': 'Surface structure'},93.0%,,,,,,0.29 bar,,,,,,,,10.1021/acscatal.1c04844,2022.0
Al-doped Cr2O3 derived from MIL-101(Cr/Al),Metal Oxide,"Cr, Al",Cr,,{'propane conversion': '19.5%'},,,580 °C,,800 h-1,PDH,propane,No,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition', 'Conversion': 'Structural Composition'}",92.0%,,,Al,,,0.1 MPa,,,,,,,,10.1016/j.mcat.2022.112894,2023.0
Tripodal vanadium oxo complex [(≡SiO)3V(═O)],Metal Oxide,"V, O, Si","V, O",Silica Oxide,{'Propane conversion': '17-19%'},,,540 °C,5 mL/min,500 mg catalyst diluted in 2.0 g SiC,PDH,"Propane, Argon",No,"{'Conversion': 'Catalyst preparation method', 'Selectivity': 'Catalyst preparation method', 'Stability': 'Catalyst preparation method'}",84.5%,,,,1000 min,0.6 h-1,,,,,,,,,10.1021/acs.organomet.2c00377,2022.0
Pt-Ti/SiO2 and Pt-Nb/SiO2,Metal,"Pt, Ti, Nb, Si, O",Pt,Silica Oxide,{'propane conversion': '10%'},,2.5% C3H8 + 2.5% H2,550℃,,,PDH,"C3H8, H2, N2",No,{'Selectivity': 'Structural Composition'},93%,,,"Ti, Nb",,,,,,,,,,,10.1039/d0cy00897d,2020.0
Ni/Ti-MWW,Metal,"Ni, Ti",Ni,Ti-MWW,{'propane conversion': '92%'},0.1% per hour,C3H8/O2/N2=1/4/11,600℃,,"10,000 mL/g/h",ODH,"C3H8, O2, N2",Yes,"{'Selectivity': 'Ti promoter', 'Stability': 'Ti-MWW support'}",83%,,,Ti,stable for 50 h,0.02 h^-1,,76%,0.35 mmol/g/s,,,,,,10.1016/j.apcata.2023.119429,2023.0
Atomically dispersed Pt/Al2O3,Single Atom,Pt,Pt,Al2O3,{'Propane conversion': '28-50%'},,H2/C3H8 = 0.8 v/v,575℃,78 mL/min,18.9 h-1,PDH,"Propane, Hydrogen, Argon",No,"{'Activity': 'Atomically dispersed Pt active sites', 'Selectivity': 'Weakened propylene adsorption and lack of multiple Pt-Pt sites', 'Stability': 'Absence of multiple Pt-Pt sites and deep dehydrogenation side reactions'}",92%,,,,0.85-0.92,4.6-85 h-1,,,,,,,,,10.1021/acscatal.0c03286,2020.0
Pt-Sn-K/Al2O3,Alloy,"Pt, Sn, K","Pt, Sn",Alumina,{'Propane Conversion': '2.59-21.15%'},,C3H8/C3H6/H2/DMDS,575-645℃,100 mL/min,,PDH,"C3H8, C3H6, H2, DMDS",No,"{'Conversion': 'Process Conditions', 'Selectivity': 'Process Conditions', 'Stability': 'Process Conditions'}",92.68-99.89%,Nanoparticulate Alloys,Impregnation Methods,K,,,,,,,,,,,10.1021/acsomega.2c01729,2022.0
FeMoTeO,Metal Oxide,"Fe, Mo, Te, O","Mo, Te",Silica Oxide,{'propene conversion': '82%'},,C3H6/O2/N2 = 1 : 1.5 : 8.6,360℃,295 h^-1,295 h^-1,ODH,"C3H6, O2, N2",Yes,"{'Conversion': 'Preparation Method', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",83%,,,,200 h,200,,,,,,,17.6 * 10^-7 mol s^-1 g^-1,,10.1039/c7cy01574g,2017.0
R-AlB2,Metal Boride,"Al, B","B, O",None,{'Propane conversion': '35%'},,C3H8/O2 = 2/1,500 ℃,,,ODH,"C3H8, O2",Yes,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",86.3%,,,,200 h,0.005 h^-1,,30.2%,,,,,,,10.1021/acscatal.2c04889,2023.0
ZrBiOx and Bi2O3/LaZrOx,Metal Oxide,"Zr, Bi, La, O",Zr,LaZrOx,{},,,550-600℃,,,PDH,propane,No,"{'Selectivity': 'Promoter', 'Conversion': 'Promoter'}",90-96%,,,Bi,,,,,,,,,,,10.1039/d2cc07002b,2023.0
Pt-based intermetallic alloys and bimetallic nanoparticles,Alloy,"Pt, Zn, Y, La",Pt,"Siliceous zeolites, hierarchical zeolites",{'Propane conversion': '10-65%'},0.001-0.106 h^-1,"C3H8/H2, C3H8/N2, C3H8/He, C3H8/Ar, 100% C3H8, C3H8/N2 = 5/95",500-600°C,0.39-140 h^-1,,PDH,"C3H8, H2, N2, He, Ar",No,"{'Conversion': 'Structural composition, support material', 'Selectivity': 'Structural composition, support material', 'Stability': 'Structural composition, support material'}",85-100%,"Intermetallic compounds, nanoparticulate alloys","Impregnation followed by heat treatment, impregnation methods","Zn, Y, La",7-300 h,0.003-0.04 h^-1,,85-100%,0.191-4.601 molC3H6⋅gcat-1⋅h-1,,,,,,10.1021/acscatal.3c00816,2023.0
FeCr mixed metal oxides,Metal Oxide,"Fe, Cr","Fe, Cr",,{'propane conversion': '14.2%'},33% initial activity after 2 h,C3H8:O2:He = 1:0.5:8,575 ℃,,30 mg,ODH,"C3H8, O2, He",Yes,"{'Conversion': 'Composition', 'Selectivity': 'Composition', 'Stability': 'Composition'}",71%,,,,2 h,0.5 h-1,,17.9%,,,,,,,10.1016/j.catcom.2021.106383,2022.0
MoVTe(Sb)Nb oxide,Metal Oxide,"Mo, V, Te, Sb, Nb","Mo, V",Silica Oxide,{'propane conversion': '92%'},,C3H8:O2=5:1,560 ℃,,GHSV of 3600 h-1,ODH,"C3H8, O2",Yes,"{'Conversion': 'Composition', 'Selectivity': 'Composition', 'Stability': 'Composition'}",92%,,,"Te, Sb, Nb",30 h,0.033 h-1,1.013 bar,90%,447 mmol C3H6 gcat-1 h-1,,,,,,10.1016/j.powtec.2022.117841,2022.0
Co@Pt Core-Shell Nanoparticles,Alloy,"Co, Pt",Pt,,{'N/A': 'N/A'},,,793.15 K,,,PDH,"Propane, Hydrogen, Propylene",No,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",,Core-Shell Nanoparticles,,,,,,,,,,,,,10.1016/j.cej.2018.09.210,2019.0
Single-site [PtZn4] intermetallic catalyst,Alloy,"Pt, Zn",Pt,Silica Oxide,{'propane conversion': '48%'},0.002 h-1,C3H8/H2 = 1/1,600℃,50 mL min-1,WHSV of propane = 4 h-1,PDH,"C3H8, H2",No,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition', 'Conversion': 'Structural Composition'}",96%,Intermetallic Compounds,Heat Treatment,Zn,160 h,0.002 h-1,,97.2%,83.2 mol C3H6 gPt-1 h-1,,,,,,10.1016/j.chempr.2020.10.008,2021.0
Re- and W-doped VOx,Metal Oxide,"V, O, W, Re","V, O",Aluminum Oxide,{'Propane conversion': '30%'},,p(C3H8)/p(N2) = 4:17,525 ℃,,0.5 g sample,ODH,"C3H8, N2",No,{'Selectivity': 'Promoter Elements'},33.6%,,,"W, Re",,,0.23 atm,33.6%,,,,,,,10.1002/anie.202206758,2022.0
Pt-SnOx/TS-1@SBA-16,Metal Oxide,"Pt, Sn","Pt, Sn",TS-1 zeolite and SBA-16 silica,{'Propane conversion': '54.5%'},,,,,,PDH,Propane,No,{'Conversion': 'Catalyst composition'},,,,,,,,,,,,,,,10.1007/s40242-019-9120-7,2019.0
PtSn/A750,Alloy,"Pt, Sn","Pt, Sn",Aluminum Oxide,{'Propane conversion': '48.3%'},0.017 h^-1,,590℃,,WHSV = 5.2 h^-1,PDH,"C3H8, H2, He",No,"{'Stability': 'Structural Composition', 'Conversion': 'Structural Composition'}",97.1%,Nanoparticulate Alloys,Incipient wetness co-impregnation,,,0.017 h^-1,,,,,,,,,10.1016/j.apcata.2018.12.024,2019.0
Ni-Mn/γ-Al2O3,Metal Oxide,"Ni, Mn",Ni,γ-Al2O3,{'CO2 conversion': '88-93%'},7.6 x 10-4 h-1,,300°C,,9400 h-1,PDH,"CO2, H2, Ar",No,"{'Conversion': 'Structural Composition', 'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",99.9%,,,Mn,1100 h,0.0009 h-1,,,,,,,,,10.1016/j.jcou.2022.102113,2022.0
Atomically dispersed Pt catalysts,Single Atom,Pt,Pt,"Activated carbon, Carbon nanotubes, Silica-based support G-6, TiO2, CeO2",{'Propane conversion': 'N/A'},,,,,,PDH,Propane,No,"{'Activity': 'Tuning oxidation state of Pt via charge transfer', 'Selectivity': 'Absence of Pt-Pt sites in single atom dispersion'}",99.2%,,,,,,,,,,,,,,10.1039/d1cy01569a,2021.0
Cr-containing SiBeta zeolite,Metal Oxide,Cr,Cr,SiBeta zeolite,{'propane conversion': '24.8%'},,C3H8:CO2:He = 1:5:9,550℃,,WHSV = 1.2 h-1,PDH,"C3H8, CO2, He",No,"{'Selectivity': 'Support material', 'Conversion': 'Support material'}",87.1%,,,,,,,21.6%,,,,,,,10.1016/j.jcou.2019.09.018,2020.0
Sodium vanadate supported on sodium loaded silica,Metal Oxide,"Na, V, O, Si",V,Silica Oxide,"{'Propane conversion': '4-10%', 'Oxygen conversion': '4-8%'}",,,450-500 °C,,4 h-1,ODH,"Propane, Oxygen, Nitrogen",Yes,"{'Selectivity': 'Structural Composition', 'Conversion': 'Structural Composition'}",15-20%,,,Na,,,,,,,,,,,10.1016/j.mcat.2022.112158,2022.0
VOx/TiO2,Metal Oxide,"V, Ti, O","V, O",TiO2,{},,,,,,ODH,"Propane, Oxygen",Yes,{'Conversion': 'Active species'},,,,,,,,,,,,,,,10.1007/s11164-015-2355-0,2016.0
V2O5/γ-Al2O3,Metal Oxide,"V, Al",V,Aluminum Oxide,"{'propane conversion': '37.32%', 'oxygen conversion': '100%'}",,"C3H8:O2 = 10:1, 10% O2",560°C - 750°C,833.3 mol/s,50 kg/m3,ODH,"C3H8, O2",Yes,"{'Selectivity': 'Reactor design', 'Conversion': 'Reactor design'}",44.2% - 51.9%,,,,,,,15% - 51.9%,833.3 mol/s,,,,,,10.1016/j.cjche.2015.12.018,2016.0
Boron nitride supported on dendritic fibrous nanosilica (DFNS/BN),Others,"B, N, Si",,Dendritic fibrous nanosilica (DFNS),{'Propane conversion': '25.5%'},,C3H8/O2/He = 1:1:8,490 °C,,1.47 kgcat mol C3H8-1 h-1,ODH,"C3H8, O2, He",Yes,"{'Selectivity': 'Support material and preparation method', 'Conversion': 'Support material', 'Stability': 'Support material'}",59.4%,,,,19 h,0.526 h-1,,59.4%,"38,360 μmol gcat-1 h-1",,,,,,10.1021/acssuschemeng.0c04148,2020.0
Ordered macroporous BPO4,Metal Oxide,"B, P, O",B,,{'Propane conversion': '14.3%'},,C3H8:O2:N2 = 1:1.5:3.5,515 °C,48 mL/min,94 gC3H8/gcat/h,ODH,"C3H8, O2, N2",Yes,"{'Conversion': 'Macroporous structure', 'Selectivity': 'Tetracoordinated boron species', 'Stability': 'Crystalline macroporous structure'}",91.5%,,,,20 h,20 h-1,,,,,,,,,10.1016/S1872-2067(20)63654-3,2020.0
MC-700,Porous Carbon,C,O,,{'propane conversion': '45.6%'},,"5 vol% propane, 95 vol% argon",600℃,,,PDH,"Propane, Argon",No,"{'Conversion': 'Surface chemical properties', 'Selectivity': 'Pore structure', 'Stability': 'Preparation method'}",73.9%,,,,8 h,0.125 h-1,,30.5%,,,,,,,10.1016/j.cattod.2022.06.022,2023.0
Hexagonal boron nitride,Metal-free,"B, N","B, N",,{'Propane conversion': '14%'},No deactivation reported,Propane:Oxygen,490℃,Varied,15-40 kg-cat s mol C3H8-1,ODH,"Propane, Oxygen, Nitrogen",Yes,"{'Selectivity': 'Catalyst composition', 'Stability': 'Catalyst composition'}",79%,,,,Stable for at least 32 hours,Stable for at least 32 h-1,0.3 atm,,3.6 ×10–7 mol C3H8 s–1 m–2 (BNNT),,,,,,10.1126/science.aaf7885,2016.0
Cu(0.05 wt%)/ZrO2-La2O3,Metal Oxide,"Cu, Zr, La, O",Zr,ZrO2,{'Propane conversion': 'N/A'},,C3H8:N2=40:60,550-625 ℃,,"
					",PDH,"C3H8, N2",No,"{'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",Above 90%,,,"Cu, La",240 h,240 h-1,,,,,,,,,10.1002/anie.201508731,2015.0
Pt-La2O3-CeO2-DSH,Metal Oxide,"Pt, La, Ce",Pt,Silica Oxide,{'Conversion of 4-nitrophenol': '94%'},0 h-1,,Room temperature,,,PDH,"4-nitrophenol, NaBH4",No,"{'Conversion': 'Structural Composition', 'Stability': 'Structural Composition'}",100%,,,,8 cycles,8 h-1,,,,,,,,,10.1002/aoc.4858,2019.0
PtZn/SiO2,Alloy,"Pt, Zn",Pt,Silica Oxide,{'propane conversion': '84%'},0.58%/h,"H2:C3H8 = 0:1, H2:C3H8 = 1:1, H2:C3H8 = 2:1",550°C,40 mL/min,11.4 g propane/g catalyst/hr,PDH,"Propane, Hydrogen, Argon",No,"{'Stability': 'Co-feeding Hydrogen', 'Conversion': 'Co-feeding Hydrogen'}",95%,Nanoparticulate Alloys,Impregnation Methods,Zn,Stable for 20 h,0.05 h-1,50 kPa,80%,11.4 g propane/g catalyst/hr,,,,,,10.1016/j.apcata.2023.119157,2023.0
Pt-Sn-K/Al2O3,Alloy,"Pt, Sn, K","Pt, Sn",Aluminum Oxide,{'Propane conversion': '60.1%'},,Propane:Oxygen - 0.709:0.091,973 K,,,PDH,"Propane, Hydrogen, Oxygen",No,"{'Conversion': 'Process Conditions', 'Selectivity': 'Process Conditions', 'Yield': 'Process Conditions'}",87.7%,Nanoparticulate Alloys,Impregnation Methods,K,,,,52.7%,,,,,,,10.1016/j.cep.2019.107608,2019.0
Pt/NaX,Metal,Pt,Pt,X-zeolite,{'Propane conversion': 'Higher with exterior Pt clusters'},No obvious deactivation,"10% N2, 90% C3H8",520-550℃,18-20 mL/min,20 mg,PDH,"N2, C3H8",No,"{'Conversion': 'Catalyst location', 'Selectivity': 'Catalyst location', 'Stability': 'Catalyst location'}",67%,,,,Stable for 12-18 h,Stable,,67%,,,,,,,10.1039/d1cy00738f,2021.0
Ga2O3/TiO2,Metal Oxide,"Ga, Ti",Ga,Titanium Oxide,{'Propane conversion': '32%'},,CO2/C3H8 = 2,600 ℃,,,ODH,"Propane, CO2",Yes,{'Conversion': 'Feed composition (presence of CO2)'},73%,,,,,,,,,,,,,,10.1016/j.jcat.2006.02.017,2006.0
